Product Name,Temperature L1,Temperature L2,Size,Ounce,Category,product_name_in_nutrition,aaron_sheet_name
Ceylon Black Tea Latte,Ice,No,Regular,16 oz,Tea Latte,Tea Latte (extracted Ceylon),16 oz Iced Tea Latte (extracted Ceylon)
Ceylon Black Tea Latte,Ice,No,Large,22 oz,Tea Latte,Tea Latte (extracted Ceylon),22 oz Iced Tea Latte (extracted Ceylon)
Roasted Oolong Tea Latte,Hot,Hot,Small,12 oz,Tea Latte,unmapped,unmapped
Roasted Oolong Tea Latte,Hot,Hot,Regular,16 oz,Tea Latte,unmapped,unmapped
Roasted Oolong Tea Latte,Hot,Hot,Large,22 oz,Tea Latte,unmapped,unmapped
Roasted Oolong Tea Latte,Ice,Regular,Small,12 oz,Tea Latte,Tea Latte (extracted Roasted Oolong),12 oz Iced Tea Latte (extracted Roasted Oolong)
Roasted Oolong Tea Latte,Ice,Regular,Regular,16 oz,Tea Latte,Tea Latte (extracted Roasted Oolong),16 oz Iced Tea Latte (extracted Roasted Oolong)
Roasted Oolong Tea Latte,Ice,Regular,Large,22 oz,Tea Latte,Tea Latte (extracted Roasted Oolong),22 oz Iced Tea Latte (extracted Roasted Oolong)
Roasted Oolong Tea Latte,Ice,Less,Small,12 oz,Tea Latte,Tea Latte (extracted Roasted Oolong),12 oz Iced Tea Latte (extracted Roasted Oolong)
Roasted Oolong Tea Latte,Ice,Less,Regular,16 oz,Tea Latte,Tea Latte (extracted Roasted Oolong),16 oz Iced Tea Latte (extracted Roasted Oolong)
Roasted Oolong Tea Latte,Ice,Less,Large,22 oz,Tea Latte,Tea Latte (extracted Roasted Oolong),22 oz Iced Tea Latte (extracted Roasted Oolong)
Roasted Oolong Tea Latte,Ice,No,Small,12 oz,Tea Latte,Tea Latte (extracted Roasted Oolong),12 oz Iced Tea Latte (extracted Roasted Oolong)
Roasted Oolong Tea Latte,Ice,No,Regular,16 oz,Tea Latte,Tea Latte (extracted Roasted Oolong),16 oz Iced Tea Latte (extracted Roasted Oolong)
Roasted Oolong Tea Latte,Ice,No,Large,22 oz,Tea Latte,Tea Latte (extracted Roasted Oolong),22 oz Iced Tea Latte (extracted Roasted Oolong)
Jasmine Green Tea,Hot,Hot,Small,12 oz,Tea,Jasmine Brewed Hot Tea,16 oz Jasmine Brewed Hot Tea
Jasmine Green Tea,Hot,Hot,Regular,16 oz,Tea,Jasmine Brewed Hot Tea,16 oz Jasmine Brewed Hot Tea
Jasmine Green Tea,Hot,Hot,Large,22 oz,Tea,Jasmine Brewed Hot Tea,22 oz Jasmine Brewed Hot Tea
Jasmine Green Tea,Ice,Regular,Small,12 oz,Tea,Jasmine Brewed Iced Tea,16 oz Jasmine Brewed Iced Tea
Jasmine Green Tea,Ice,Regular,Regular,16 oz,Tea,Jasmine Brewed Iced Tea,16 oz Jasmine Brewed Iced Tea
Jasmine Green Tea,Ice,Regular,Large,22 oz,Tea,Jasmine Brewed Iced Tea,22 oz Jasmine Brewed Iced Tea
Jasmine Green Tea,Ice,Less,Small,12 oz,Tea,Jasmine Brewed Iced Tea,16 oz Jasmine Brewed Iced Tea
Jasmine Green Tea,Ice,Less,Regular,16 oz,Tea,Jasmine Brewed Iced Tea,16 oz Jasmine Brewed Iced Tea
Jasmine Green Tea,Ice,Less,Large,22 oz,Tea,Jasmine Brewed Iced Tea,22 oz Jasmine Brewed Iced Tea
Jasmine Green Tea,Ice,No,Small,12 oz,Tea,Jasmine Brewed Iced Tea,16 oz Jasmine Brewed Iced Tea
Jasmine Green Tea,Ice,No,Regular,16 oz,Tea,Jasmine Brewed Iced Tea,16 oz Jasmine Brewed Iced Tea
Jasmine Green Tea,Ice,No,Large,22 oz,Tea,Jasmine Brewed Iced Tea,22 oz Jasmine Brewed Iced Tea
Peach Oolong Tea,Hot,Hot,Small,12 oz,Tea,Peach Brewed Hot Tea,16 oz Peach Brewed Hot Tea
Peach Oolong Tea,Hot,Hot,Regular,16 oz,Tea,Peach Brewed Hot Tea,16 oz Peach Brewed Hot Tea
Peach Oolong Tea,Hot,Hot,Large,22 oz,Tea,Peach Brewed Hot Tea,22 oz Peach Brewed Hot Tea
Peach Oolong Tea,Ice,Regular,Small,12 oz,Tea,Peach Brewed Iced Tea,16 oz Peach Brewed Iced Tea
Peach Oolong Tea,Ice,Regular,Regular,16 oz,Tea,Peach Brewed Iced Tea,16 oz Peach Brewed Iced Tea
