Product Name,Temperature L1,Temperature L2,Size,Ounce,Category
Roasted Black Pure Tea,Hot,Hot,Small,12 oz,Pure tea
Roasted Black Pure Tea,Hot,Hot,Regular,16 oz,Pure tea
Roasted Black Pure Tea,Hot,Hot,Large,22 oz,Pure tea
Roasted Black Pure Tea,Ice,Regular,Small,12 oz,Pure tea
Roasted Black Pure Tea,Ice,Regular,Regular,16 oz,Pure tea
Roasted Black Pure Tea,Ice,Regular,Large,22 oz,Pure tea
Roasted Black Pure Tea,Ice,Less,Small,12 oz,Pure tea
Roasted Black Pure Tea,Ice,Less,Regular,16 oz,Pure tea
Roasted Black Pure Tea,Ice,Less,Large,22 oz,Pure tea
Roasted Black Pure Tea,Ice,No,Small,12 oz,Pure tea
Roasted Black Pure Tea,Ice,No,Regular,16 oz,Pure tea
Roasted Black Pure Tea,Ice,No,Large,22 oz,Pure tea
Ceylon Black Pure Tea,Hot,Hot,Small,12 oz,Pure tea
Ceylon Black Pure Tea,Hot,Hot,Regular,16 oz,Pure tea
Ceylon Black Pure Tea,Hot,Hot,Large,22 oz,Pure tea
Ceylon Black Pure Tea,Ice,Regular,Small,12 oz,Pure tea
Ceylon Black Pure Tea,Ice,Regular,Regular,16 oz,Pure tea
Ceylon Black Pure Tea,Ice,Regular,Large,22 oz,Pure tea
Ceylon Black Pure Tea,Ice,Less,Small,12 oz,Pure tea
Ceylon Black Pure Tea,Ice,Less,Regular,16 oz,Pure tea
Ceylon Black Pure Tea,Ice,Less,Large,22 oz,Pure tea
Ceylon Black Pure Tea,Ice,No,Small,12 oz,Pure tea
Ceylon Black Pure Tea,Ice,No,Regular,16 oz,Pure tea
Ceylon Black Pure Tea,Ice,No,Large,22 oz,Pure tea
Roasted Oolong Tea,Hot,Hot,Small,12 oz,Pure tea
Roasted Oolong Tea,Hot,Hot,Regular,16 oz,Pure tea
Roasted Oolong Tea,Hot,Hot,Large,22 oz,Pure tea
Roasted Oolong Tea,Ice,Regular,Small,12 oz,Pure tea
Roasted Oolong Tea,Ice,Regular,Regular,16 oz,Pure tea
Roasted Oolong Tea,Ice,Regular,Large,22 oz,Pure tea
Roasted Oolong Tea,Ice,Less,Small,12 oz,Pure tea
Roasted Oolong Tea,Ice,Less,Regular,16 oz,Pure tea
Roasted Oolong Tea,Ice,Less,Large,22 oz,Pure tea
Roasted Oolong Tea,Ice,No,Small,12 oz,Pure tea
Roasted Oolong Tea,Ice,No,Regular,16 oz,Pure tea
Roasted Oolong Tea,Ice,No,Large,22 oz,Pure tea
Jasmine Green Lemon Tea,Hot,Hot,Small,12 oz,Other teas
Jasmine Green Lemon Tea,Hot,Hot,Regular,16 oz,Other teas
