Product Name,Temperature L1,Temperature L2,Size,Ounce,Category
Roasted Black Tea,Ice,No,Small,12 oz,Tea
Roasted Black Tea,Ice,No,Regular,16 oz,Tea
Roasted Black Tea,Ice,No,Large,22 oz,Tea
Ceylon Black Tea,Hot,Hot,Small,12 oz,Tea
Ceylon Black Tea,Hot,Hot,Regular,16 oz,Tea
Ceylon Black Tea,Hot,Hot,Large,22 oz,Tea
Ceylon Black Tea,Ice,Regular,Small,12 oz,Tea
Ceylon Black Tea,Ice,Regular,Regular,16 oz,Tea
Ceylon Black Tea,Ice,Regular,Large,22 oz,Tea
Ceylon Black Tea,Ice,Less,Small,12 oz,Tea
Ceylon Black Tea,Ice,Less,Regular,16 oz,Tea
Ceylon Black Tea,Ice,Less,Large,22 oz,Tea
Ceylon Black Tea,Ice,No,Small,12 oz,Tea
Ceylon Black Tea,Ice,No,Regular,16 oz,Tea
Ceylon Black Tea,Ice,No,Large,22 oz,Tea
Roasted Oolong Tea,Hot,Hot,Small,12 oz,Tea
Roasted Oolong Tea,Hot,Hot,Regular,16 oz,Tea
Roasted Oolong Tea,Hot,Hot,Large,22 oz,Tea
Roasted Oolong Tea,Ice,Regular,Small,12 oz,Tea
Roasted Oolong Tea,Ice,Regular,Regular,16 oz,Tea
Roasted Oolong Tea,Ice,Regular,Large,22 oz,Tea
Roasted Oolong Tea,Ice,Less,Small,12 oz,Tea
Roasted Oolong Tea,Ice,Less,Regular,16 oz,Tea
Roasted Oolong Tea,Ice,Less,Large,22 oz,Tea
Roasted Oolong Tea,Ice,No,Small,12 oz,Tea
Roasted Oolong Tea,Ice,No,Regular,16 oz,Tea
Roasted Oolong Tea,Ice,No,Large,22 oz,Tea
Jasmine Green Lemon Tea,Hot,Hot,Small,12 oz,Tea
Jasmine Green Lemon Tea,Hot,Hot,Regular,16 oz,Tea
Jasmine Green Lemon Tea,Hot,Hot,Large,22 oz,Tea
Jasmine Green Lemon Tea,Ice,Regular,Small,12 oz,Tea
Jasmine Green Lemon Tea,Ice,Regular,Regular,16 oz,Tea
Jasmine Green Lemon Tea,Ice,Regular,Large,22 oz,Tea
Jasmine Green Lemon Tea,Ice,Less,Small,12 oz,Tea
Jasmine Green Lemon Tea,Ice,Less,Regular,16 oz,Tea
Jasmine Green Lemon Tea,Ice,Less,Large,22 oz,Tea
Jasmine Green Lemon Tea,Ice,No,Small,12 oz,Tea
Jasmine Green Lemon Tea,Ice,No,Regular,16 oz,Tea
Jasmine Green Lemon Tea,Ice,No,Large,22 oz,Tea
Peach Oolong Lemon Tea,Hot,Hot,Small,12 oz,Tea
Peach Oolong Lemon Tea,Hot,Hot,Regular,16 oz,Tea
Peach Oolong Lemon Tea,Hot,Hot,Large,22 oz,Tea
Peach Oolong Lemon Tea,Ice,Regular,Small,12 oz,Tea
Peach Oolong Lemon Tea,Ice,Regular,Regular,16 oz,Tea
Peach Oolong Lemon Tea,Ice,Regular,Large,22 oz,Tea
Peach Oolong Lemon Tea,Ice,Less,Small,12 oz,Tea
Peach Oolong Lemon Tea,Ice,Less,Regular,16 oz,Tea
Peach Oolong Lemon Tea,Ice,Less,Large,22 oz,Tea
Peach Oolong Lemon Tea,Ice,No,Small,12 oz,Tea
Peach Oolong Lemon Tea,Ice,No,Regular,16 oz,Tea
Peach Oolong Lemon Tea,Ice,No,Large,22 oz,Tea
Roasted Black Lemon Tea,Hot,Hot,Small,12 oz,Tea
Roasted Black Lemon Tea,Hot,Hot,Regular,16 oz,Tea
Roasted Black Lemon Tea,Hot,Hot,Large,22 oz,Tea
Roasted Black Lemon Tea,Ice,Regular,Small,12 oz,Tea
Roasted Black Lemon Tea,Ice,Regular,Regular,16 oz,Tea
Roasted Black Lemon Tea,Ice,Regular,Large,22 oz,Tea
Roasted Black Lemon Tea,Ice,Less,Small,12 oz,Tea
Roasted Black Lemon Tea,Ice,Less,Regular,16 oz,Tea
Roasted Black Lemon Tea,Ice,Less,Large,22 oz,Tea
Roasted Black Lemon Tea,Ice,No,Small,12 oz,Tea
Roasted Black Lemon Tea,Ice,No,Regular,16 oz,Tea
Roasted Black Lemon Tea,Ice,No,Large,22 oz,Tea
Caramel Tea Frappe,Hot,Hot,Small,12 oz,Tea
Caramel Tea Frappe,Hot,Hot,Regular,16 oz,Tea
Caramel Tea Frappe,Hot,Hot,Large,22 oz,Tea
Caramel Tea Frappe,Ice,Regular,Small,12 oz,Tea
Caramel Tea Frappe,Ice,Regular,Regular,16 oz,Tea
Caramel Tea Frappe,Ice,Regular,Large,22 oz,Tea
Caramel Tea Frappe,Ice,Less,Small,12 oz,Tea
Caramel Tea Frappe,Ice,Less,Regular,16 oz,Tea
Caramel Tea Frappe,Ice,Less,Large,22 oz,Tea
Caramel Tea Frappe,Ice,No,Small,12 oz,Tea
Caramel Tea Frappe,Ice,No,Regular,16 oz,Tea
Caramel Tea Frappe,Ice,No,Large,22 oz,Tea
